Year, city1                                  , city2                                  , nsmiles, fare
2024, "Nashville, TN"                        , "New York City, NY (Metropolitan Area)",     803, 187.6
2024, "Nashville, TN"                        , "San Francisco, CA (Metropolitan Area)",    1969, 293.74
2024, "Nashville, TN"                        , "Tampa, FL (Metropolitan Area)"        ,     612,  78.81
2024, "Boise, ID"                            , "Dallas/Fort Worth, TX"                ,    1282, 250.81
2024, "Boise, ID"                            , "San Francisco, CA (Metropolitan Area)",     523, 175.31
2024, "Boise, ID"                            , "Los Angeles, CA (Metropolitan Area)"  ,     688, 163.78
2024, "Boston, MA (Metropolitan Area)"       , "Dallas/Fort Worth, TX"                ,    1562, 206.66
2024, "Boston, MA (Metropolitan Area)"       , "Pittsburgh, PA"                       ,     496, 190.75
2024, "Boston, MA (Metropolitan Area)"       , "Denver, CO"                           ,    1754, 256.61
2024, "Boston, MA (Metropolitan Area)"       , "Phoenix, AZ"                          ,    2300, 286.84
2024, "Boston, MA (Metropolitan Area)"       , "Seattle, WA"                          ,    2496, 259.93
2024, "Boston, MA (Metropolitan Area)"       , "Cleveland, OH (Metropolitan Area)"    ,     563, 308.99
2024, "Boston, MA (Metropolitan Area)"       , "Nashville, TN"                        ,     942, 210.07
2024, "Boston, MA (Metropolitan Area)"       , "Buffalo, NY"                          ,     395, 156.99
2024, "Boston, MA (Metropolitan Area)"       , "Washington, DC (Metropolitan Area)"   ,     418, 145.36
2024, "Boston, MA (Metropolitan Area)"       , "Chicago, IL"                          ,     867, 149.86
2024, "Boston, MA (Metropolitan Area)"       , "Charleston, SC"                       ,     836, 224.72
2024, "Boston, MA (Metropolitan Area)"       , "Charlotte, NC"                        ,     737, 197.61
2024, "Boston, MA (Metropolitan Area)"       , "Columbus, OH"                         ,     640, 287.55
2024, "Boston, MA (Metropolitan Area)"       , "St. Louis, MO"                        ,    1047, 271.76
2024, "Boston, MA (Metropolitan Area)"       , "Myrtle Beach, SC"                     ,     756, 122.85
2024, "Boston, MA (Metropolitan Area)"       , "Jacksonville, FL"                     ,    1028, 233.9
2024, "Boston, MA (Metropolitan Area)"       , "Detroit, MI"                          ,     632, 200.94
2024, "Boston, MA (Metropolitan Area)"       , "Houston, TX"                          ,    1609, 251.11
2024, "Boston, MA (Metropolitan Area)"       , "Orlando, FL"                          ,    1142, 207.13
2024, "Boston, MA (Metropolitan Area)"       , "Key West, FL"                         ,    1396, 330.69
2024, "Boston, MA (Metropolitan Area)"       , "Minneapolis/St. Paul, MN"             ,    1124, 257.99
2024, "Boston, MA (Metropolitan Area)"       , "New York City, NY (Metropolitan Area)",     209, 174.93
2024, "Boston, MA (Metropolitan Area)"       , "Fort Myers, FL"                       ,    1271, 263.98
2024, "Boston, MA (Metropolitan Area)"       , "Las Vegas, NV"                        ,    2381, 350.81
2024, "Boston, MA (Metropolitan Area)"       , "Indianapolis, IN"                     ,     818, 307.03
2024, "Boston, MA (Metropolitan Area)"       , "San Francisco, CA (Metropolitan Area)",    2704, 273.63
